neuropil,sample,global_clustering,density,reciprocity,average_strength,n_nodes,n_edges
AL_L,0,0.1258253135073006,0.010713564425513165,0.26349913599817204,,3616,140046
AL_L,1,0.12543694019879975,0.010713564425513165,0.26422032760664355,,3616,140046
AL_L,2,0.12565493598117417,0.010713564425513165,0.26541279293946274,,3616,140046
AL_L,3,0.12565307292697708,0.010713564425513165,0.26700512688688005,,3616,140046
AL_L,4,0.1258474532053338,0.010713564425513165,0.2644988075346672,,3616,140046
AL_L,5,0.1252955842674046,0.010713564425513165,0.2663339188552333,,3616,140046
AL_L,6,0.12522097720370193,0.010713564425513165,0.2675263841880525,,3616,140046
AL_L,7,0.1262251635195811,0.010713564425513165,0.2651414535224141,,3616,140046
AL_L,8,0.12506760133848174,0.010713564425513165,0.2659554717735601,,3616,140046
AL_L,9,0.12465402275617815,0.010713564425513165,0.2668408951344558,,3616,140046
AL_L,10,0.1253597851736583,0.010713564425513165,0.26386330205789527,,3616,140046
AL_L,11,0.12552113467206638,0.010713564425513165,0.26383474001399543,,3616,140046
AL_L,12,0.12535468836006783,0.010713564425513165,0.2639632692115448,,3616,140046
AL_L,13,0.12490978472646684,0.010713564425513165,0.2670765319966297,,3616,140046
AL_L,14,0.12475729991043083,0.010713564425513165,0.26448452651271726,,3616,140046
AL_L,15,0.12534084211789312,0.010713564425513165,0.26639818345400795,,3616,140046
AL_L,16,0.12541862153129218,0.010713564425513165,0.266605258272282,,3616,140046
AL_L,17,0.12497383718400294,0.010713564425513165,0.26572697542236123,,3616,140046
AL_L,18,0.12497054107288433,0.010713564425513165,0.2646130557102666,,3616,140046
AL_L,19,0.12455914108364026,0.010713564425513165,0.26409179840909414,,3616,140046
AL_L,20,0.12456367179230295,0.010713564425513165,0.2657626779772361,,3616,140046
AL_L,21,0.12516611141236264,0.010713564425513165,0.2673407309027034,,3616,140046
AL_L,22,0.12489114019802632,0.010713564425513165,0.26448452651271726,,3616,140046
AL_L,23,0.12472066910676717,0.010713564425513165,0.2660054553503849,,3616,140046
AL_L,24,0.12465367041768019,0.010713564425513165,0.2678762692258258,,3616,140046
AL_L,25,0.12449191951798874,0.010713564425513165,0.2655484626479871,,3616,140046
AL_L,26,0.12454747901595736,0.010713564425513165,0.2668194736015309,,3616,140046
AL_L,27,0.12447050726517006,0.010713564425513165,0.2655484626479871,,3616,140046
AL_L,28,0.12432666581428242,0.010713564425513165,0.2665338531625323,,3616,140046
AL_L,29,0.12517134624274281,0.010713564425513165,0.26549133856018736,,3616,140046
AL_L,30,0.12485324468671549,0.010713564425513165,0.26419176556274365,,3616,140046
AL_L,31,0.1246422130680014,0.010713564425513165,0.26699798637590505,,3616,140046
AL_L,32,0.12475664186943504,0.010713564425513165,0.2648843951273153,,3616,140046
AL_L,33,0.12454719741413806,0.010713564425513165,0.26649815060765747,,3616,140046
AL_L,34,0.1245025819788667,0.010713564425513165,0.2631920940262485,,3616,140046
AL_L,35,0.1248451446730957,0.010713564425513165,0.2661197035259843,,3616,140046
AL_L,36,0.12516136552195953,0.010713564425513165,0.26520571812118876,,3616,140046
AL_L,37,0.12458482220302448,0.010713564425513165,0.2652842637419134,,3616,140046
AL_L,38,0.12475412695004486,0.010713564425513165,0.2652771232309384,,3616,140046
AL_L,39,0.1242663418669887,0.010713564425513165,0.2675192436770775,,3616,140046
AL_L,40,0.12467293634546268,0.010713564425513165,0.26621253016865887,,3616,140046
AL_L,41,0.12471288985633186,0.010713564425513165,0.2634634334432972,,3616,140046
AL_L,42,0.12450421529056398,0.010713564425513165,0.2671336560844294,,3616,140046
AL_L,43,0.12444715270875338,0.010713564425513165,0.2639632692115448,,3616,140046
AL_L,44,0.12445231458487706,0.010713564425513165,0.26591976921868526,,3616,140046
AL_L,45,0.12418116104438379,0.010713564425513165,0.26580552104308586,,3616,140046
AL_L,46,0.12447934182769874,0.010713564425513165,0.2635419790640218,,3616,140046
AL_L,47,0.1252239131714363,0.010713564425513165,0.2623709352641275,,3616,140046
AL_L,48,0.12478936182329457,0.010713564425513165,0.26630535681133344,,3616,140046
AL_L,49,0.1243631794163598,0.010713564425513165,0.26575553746626107,,3616,140046
AL_L,50,0.12473023154052364,0.010713564425513165,0.267426417034403,,3616,140046
AL_L,51,0.12430245124607846,0.010713564425513165,0.26517715607728887,,3616,140046
AL_L,52,0.12419411959880029,0.010713564425513165,0.26495580023706494,,3616,140046
AL_L,53,0.12386371293531127,0.010713564425513165,0.26556274366993704,,3616,140046
AL_L,54,0.12448630733007497,0.010713564425513165,0.26415606300786887,,3616,140046
AL_L,55,0.12474346364703398,0.010713564425513165,0.26656241520643215,,3616,140046
AL_L,56,0.12417315155719745,0.010713564425513165,0.2657126944004113,,3616,140046
AL_L,57,0.12380994504854832,0.010713564425513165,0.26564128929066166,,3616,140046
AL_L,58,0.12421895150049059,0.010713564425513165,0.2644131214029676,,3616,140046
AL_L,59,0.12405721211319319,0.010713564425513165,0.2652342801650886,,3616,140046
AL_L,60,0.1247142544342893,0.010713564425513165,0.2626636962141011,,3616,140046
AL_L,61,0.12466028371877487,0.010713564425513165,0.26561272724676177,,3616,140046
AL_L,62,0.12459102990554752,0.010713564425513165,0.2665766962283821,,3616,140046
AL_L,63,0.125316621553341,0.010713564425513165,0.26699798637590505,,3616,140046
AL_L,64,0.12470544089991631,0.010713564425513165,0.2661054225040344,,3616,140046
AL_L,65,0.12466437047445504,0.010713564425513165,0.26424174913956844,,3616,140046
AL_L,66,0.12435854936263413,0.010713564425513165,0.26297073818602457,,3616,140046
AL_L,67,0.12491779920910295,0.010713564425513165,0.26481299001756564,,3616,140046
AL_L,68,0.12497330374734636,0.010713564425513165,0.26617682761378403,,3616,140046
AL_L,69,0.1246941817899434,0.010713564425513165,0.264534510089542,,3616,140046
AL_L,70,0.12467287361603027,0.010713564425513165,0.26518429658826387,,3616,140046
AL_L,71,0.12410628476588102,0.010713564425513165,0.26738357396855317,,3616,140046
AL_L,72,0.124117647071496,0.010713564425513165,0.2656698513345615,,3616,140046
AL_L,73,0.12445255640690865,0.010713564425513165,0.2616925867215058,,3616,140046
AL_L,74,0.12388217120701898,0.010713564425513165,0.26611256301500935,,3616,140046
AL_L,75,0.12443733006539558,0.010713564425513165,0.266191108635734,,3616,140046
AL_L,76,0.12496908357626116,0.010713564425513165,0.26591976921868526,,3616,140046
AL_L,77,0.12440331851213399,0.010713564425513165,0.26462733673221656,,3616,140046
AL_L,78,0.12520997253356994,0.010713564425513165,0.26747640061122774,,3616,140046
AL_L,79,0.12457245954698447,0.010713564425513165,0.26388472359082016,,3616,140046
AL_L,80,0.12443469366229522,0.010713564425513165,0.26671236593690645,,3616,140046
AL_L,81,0.12440674017333359,0.010713564425513165,0.26541993345043774,,3616,140046
AL_L,82,0.12410442114469598,0.010713564425513165,0.2668480356454308,,3616,140046
AL_L,83,0.12480481523125843,0.010713564425513165,0.263920426145695,,3616,140046
AL_L,84,0.12450824159984415,0.010713564425513165,0.26546991702726247,,3616,140046
AL_L,85,0.12472192540923213,0.010713564425513165,0.264541650600517,,3616,140046
AL_L,86,0.1244853845618707,0.010713564425513165,0.26592690972966027,,3616,140046
AL_L,87,0.1244998236883919,0.010713564425513165,0.26551990060408726,,3616,140046
AL_L,88,0.12481914578375825,0.010713564425513165,0.2653413878297131,,3616,140046
AL_L,89,0.1245198308468488,0.010713564425513165,0.26438455935906774,,3616,140046
AL_L,90,0.12453581042965313,0.010713564425513165,0.26776202105022634,,3616,140046
AL_L,91,0.12446415761993797,0.010713564425513165,0.2617140082544307,,3616,140046
AL_L,92,0.1248567451477098,0.010713564425513165,0.26627679476743354,,3616,140046
AL_L,93,0.12433514745604499,0.010713564425513165,0.26497722176998983,,3616,140046
AL_L,94,0.12501308586190937,0.010713564425513165,0.2653770903845879,,3616,140046
AL_L,95,0.1248548492038285,0.010713564425513165,0.2677763020721763,,3616,140046
AL_L,96,0.12487118275134321,0.010713564425513165,0.26258515059337645,,3616,140046
AL_L,97,0.12465155131144133,0.010713564425513165,0.26498436228096484,,3616,140046
AL_L,98,0.12522275163848245,0.010713564425513165,0.266605258272282,,3616,140046
AL_L,99,0.12453396223031213,0.010713564425513165,0.2652771232309384,,3616,140046
AL_L,100,0.12445724530715536,0.010713564425513165,0.26812618710994957,,3616,140046
AL_L,101,0.12433839165551391,0.010713564425513165,0.26467732030904134,,3616,140046
AL_L,102,0.1242612688726776,0.010713564425513165,0.26729074732587865,,3616,140046
AL_L,103,0.12428314122584995,0.010713564425513165,0.2656698513345615,,3616,140046
AL_L,104,0.12468757175281253,0.010713564425513165,0.26524856118703855,,3616,140046
AL_L,105,0.12404985580955413,0.010713564425513165,0.26664810133813177,,3616,140046
AL_L,106,0.12496788957896306,0.010713564425513165,0.2646201962212416,,3616,140046
AL_L,107,0.12405270350501037,0.010713564425513165,0.2668837382003056,,3616,140046
AL_L,108,0.12492849191809657,0.010713564425513165,0.26500578381388973,,3616,140046
AL_L,109,0.12479332409973135,0.010713564425513165,0.2676120703197521,,3616,140046
AL_L,110,0.12449631469000719,0.010713564425513165,0.2686403039001471,,3616,140046
AL_L,111,0.1249720518481201,0.010713564425513165,0.26596975279551005,,3616,140046
AL_L,112,0.12411384210201873,0.010713564425513165,0.2670622509746797,,3616,140046
AL_L,113,0.1242640238332561,0.010713564425513165,0.2675620867429273,,3616,140046
AL_L,114,0.12449320481213291,0.010713564425513165,0.26598403381746,,3616,140046
AL_L,115,0.12419257057733155,0.010713564425513165,0.2660340173942847,,3616,140046
AL_L,116,0.12402905755307911,0.010713564425513165,0.26625537323450865,,3616,140046
AL_L,117,0.12446088472889764,0.010713564425513165,0.2646630392870914,,3616,140046
AL_L,118,0.12416236061245425,0.010713564425513165,0.26656955571740715,,3616,140046
AL_L,119,0.12436571555511378,0.010713564425513165,0.2685974608342973,,3616,140046
AL_L,120,0.1243212296201207,0.010713564425513165,0.2645987746883167,,3616,140046
AL_L,121,0.12380580054016867,0.010713564425513165,0.2637704754152207,,3616,140046
AL_L,122,0.12419227698841304,0.010713564425513165,0.26641960498693285,,3616,140046
AL_L,123,0.12502275194941156,0.010713564425513165,0.26632677834425833,,3616,140046
AL_L,124,0.12427916905426693,0.010713564425513165,0.2684760721477229,,3616,140046
AL_L,125,0.12497803622111375,0.010713564425513165,0.2658126615540608,,3616,140046
AL_L,126,0.12448416969498445,0.010713564425513165,0.26504148636876457,,3616,140046
AL_L,127,0.12436201970304218,0.010713564425513165,0.2646416177541665,,3616,140046
AL_L,128,0.12474014921386219,0.010713564425513165,0.26724076374905387,,3616,140046
AL_L,129,0.1240755048526746,0.010713564425513165,0.2678762692258258,,3616,140046
AL_L,130,0.12437825344211625,0.010713564425513165,0.26735501192465333,,3616,140046
AL_L,131,0.12490385386948791,0.010713564425513165,0.2649058166602402,,3616,140046
AL_L,132,0.12437611685908165,0.010713564425513165,0.2655913057138369,,3616,140046
AL_L,133,0.12383977512170828,0.010713564425513165,0.26462733673221656,,3616,140046
AL_L,134,0.12400640450722956,0.010713564425513165,0.2669694243320052,,3616,140046
AL_L,135,0.12424215813875578,0.010713564425513165,0.26371335132742096,,3616,140046
AL_L,136,0.12414498683336403,0.010713564425513165,0.2650486268797395,,3616,140046
AL_L,137,0.12470168626996601,0.010713564425513165,0.26596975279551005,,3616,140046
AL_L,138,0.12483965695290312,0.010713564425513165,0.266605258272282,,3616,140046
AL_L,139,0.12469981318550262,0.010713564425513165,0.2683475429501735,,3616,140046
AL_L,140,0.12408436915099634,0.010713564425513165,0.2647630064407409,,3616,140046
AL_L,141,0.12478563843354469,0.010713564425513165,0.2648558330834154,,3616,140046
AL_L,142,0.1243435069722172,0.010713564425513165,0.2630707053396741,,3616,140046
AL_L,143,0.124814014030114,0.010713564425513165,0.26469874184196623,,3616,140046
AL_L,144,0.12446897912434303,0.010713564425513165,0.26489153563829027,,3616,140046
AL_L,145,0.12459121110498884,0.010713564425513165,0.2644202619139426,,3616,140046
AL_L,146,0.12426620952478891,0.010713564425513165,0.26664810133813177,,3616,140046
AL_L,147,0.12420851255491065,0.010713564425513165,0.2696256944146923,,3616,140046
AL_L,148,0.12445023080653239,0.010713564425513165,0.26581980206503575,,3616,140046
AL_L,149,0.1244062090146853,0.010713564425513165,0.26579838053211086,,3616,140046
AL_L,150,0.12455403977578373,0.010713564425513165,0.2652557016980135,,3616,140046
AL_L,151,0.12464984463981274,0.010713564425513165,0.26821901375262414,,3616,140046
AL_L,152,0.1244706104214652,0.010713564425513165,0.2660054553503849,,3616,140046
AL_L,153,0.12426200545102838,0.010713564425513165,0.2659554717735601,,3616,140046
AL_L,154,0.12455756749038839,0.010713564425513165,0.2664124644759579,,3616,140046
AL_L,155,0.12487073300490524,0.010713564425513165,0.2640346743212944,,3616,140046
AL_L,156,0.12485295101019389,0.010713564425513165,0.2651414535224141,,3616,140046
AL_L,157,0.12445009689562497,0.010713564425513165,0.2630564243177242,,3616,140046
AL_L,158,0.12456914100088706,0.010713564425513165,0.2667694900247062,,3616,140046
AL_L,159,0.12463258257746138,0.010713564425513165,0.2668408951344558,,3616,140046
AL_L,160,0.12470558168007659,0.010713564425513165,0.2644773860017423,,3616,140046
AL_L,161,0.12412013929685746,0.010713564425513165,0.267419276523428,,3616,140046
AL_L,162,0.12446823325269334,0.010713564425513165,0.2677977236051012,,3616,140046
AL_L,163,0.12450142179842659,0.010713564425513165,0.2647058823529412,,3616,140046
AL_L,164,0.12447240390813834,0.010713564425513165,0.2670336889307799,,3616,140046
AL_L,165,0.12455997327102314,0.010713564425513165,0.2647058823529412,,3616,140046
AL_L,166,0.12407622099398231,0.010713564425513165,0.2646558987761164,,3616,140046
AL_L,167,0.12451761892038177,0.010713564425513165,0.265355668851663,,3616,140046
AL_L,168,0.1249517058967785,0.010713564425513165,0.2657483969552861,,3616,140046
AL_L,169,0.12471521082885612,0.010713564425513165,0.26637676192108306,,3616,140046
AL_L,170,0.1245140244870687,0.010713564425513165,0.26586978564186053,,3616,140046
AL_L,171,0.12506548081855715,0.010713564425513165,0.2647058823529412,,3616,140046
AL_L,172,0.12473826931732179,0.010713564425513165,0.2653128257858132,,3616,140046
AL_L,173,0.12509415638249993,0.010713564425513165,0.2631278294274738,,3616,140046
AL_L,174,0.12442358105214153,0.010713564425513165,0.26813332762092457,,3616,140046
AL_L,175,0.12433122450140159,0.010713564425513165,0.2688045356525713,,3616,140046
AL_L,176,0.12457332574260609,0.010713564425513165,0.2660268768833098,,3616,140046
AL_L,177,0.12455192150581819,0.010713564425513165,0.2661982491467089,,3616,140046
AL_L,178,0.12494106810359973,0.010713564425513165,0.2637918969481456,,3616,140046
AL_L,179,0.12436603224906023,0.010713564425513165,0.26638390243205806,,3616,140046
AL_L,180,0.1243714096923513,0.010713564425513165,0.26586978564186053,,3616,140046
AL_L,181,0.1249535193235235,0.010713564425513165,0.2654556360053125,,3616,140046
AL_L,182,0.1248923362351316,0.010713564425513165,0.2656698513345615,,3616,140046
AL_L,183,0.12494970590152646,0.010713564425513165,0.2669908458649301,,3616,140046
AL_L,184,0.12487578651311694,0.010713564425513165,0.2619210830727047,,3616,140046
AL_L,185,0.12467349139188626,0.010713564425513165,0.26581980206503575,,3616,140046
AL_L,186,0.12455572177882257,0.010713564425513165,0.26582694257601075,,3616,140046
AL_L,187,0.12436753080887368,0.010713564425513165,0.26407037687616924,,3616,140046
AL_L,188,0.12435130010200013,0.010713564425513165,0.2648843951273153,,3616,140046
AL_L,189,0.12468342238200178,0.010713564425513165,0.2658840666638105,,3616,140046
AL_L,190,0.12438855038564475,0.010713564425513165,0.2655484626479871,,3616,140046
AL_L,191,0.1248783395768654,0.010713564425513165,0.26504148636876457,,3616,140046
AL_L,192,0.12412997863262706,0.010713564425513165,0.2668480356454308,,3616,140046
AL_L,193,0.12472040982208489,0.010713564425513165,0.2671336560844294,,3616,140046
AL_L,194,0.12411332187015249,0.010713564425513165,0.26669094440398156,,3616,140046
AL_L,195,0.12398109679572766,0.010713564425513165,0.2669265812661554,,3616,140046
AL_L,196,0.12481539374881782,0.010713564425513165,0.26518429658826387,,3616,140046
AL_L,197,0.12453064491188673,0.010713564425513165,0.2638918641017951,,3616,140046
AL_L,198,0.12461901219991176,0.010713564425513165,0.26580552104308586,,3616,140046
AL_L,199,0.12489784633032233,0.010713564425513165,0.2660768604601345,,3616,140046
AL_L,200,0.12453585510685153,0.010713564425513165,0.26769775645145166,,3616,140046
AL_L,201,0.1250636917177446,0.010713564425513165,0.26472730388586607,,3616,140046
AL_L,202,0.12419222286927209,0.010713564425513165,0.2669123002442055,,3616,140046
AL_L,203,0.12537927227251322,0.010713564425513165,0.26557702469188693,,3616,140046
AL_L,204,0.12440456300581121,0.010713564425513165,0.2659411907516102,,3616,140046
AL_L,205,0.12458809209827777,0.010713564425513165,0.263099267383574,,3616,140046
AL_L,206,0.1252237980364967,0.010713564425513165,0.263513417020122,,3616,140046
AL_L,207,0.1242506363095117,0.010713564425513165,0.26571983491138623,,3616,140046
AL_L,208,0.1249640577785202,0.010713564425513165,0.26391328563472,,3616,140046
AL_L,209,0.12419130010457205,0.010713564425513165,0.2660197363723348,,3616,140046
AL_L,210,0.12486021427293462,0.010713564425513165,0.2659411907516102,,3616,140046
AL_L,211,0.12483419205257996,0.010713564425513165,0.26417748454079376,,3616,140046
AL_L,212,0.12494102182606978,0.010713564425513165,0.2639704097225197,,3616,140046
AL_L,213,0.124672705472454,0.010713564425513165,0.26726932579295376,,3616,140046
AL_L,214,0.12487323494599582,0.010713564425513165,0.26581980206503575,,3616,140046
AL_L,215,0.12461156336191666,0.010713564425513165,0.26594833126258516,,3616,140046
AL_L,216,0.12469797856420121,0.010713564425513165,0.2671122345515045,,3616,140046
AL_L,217,0.12443467713446557,0.010713564425513165,0.26446310497979236,,3616,140046
AL_L,218,0.12516830723361502,0.010713564425513165,0.2653413878297131,,3616,140046
AL_L,219,0.12449400868355298,0.010713564425513165,0.26578409951016096,,3616,140046
AL_L,220,0.12449886805760141,0.010713564425513165,0.26654099367350725,,3616,140046
AL_L,221,0.12410512366296253,0.010713564425513165,0.2656198677577367,,3616,140046
AL_L,222,0.1249643312301228,0.010713564425513165,0.26894020536109564,,3616,140046
AL_L,223,0.1248667242210165,0.010713564425513165,0.26497722176998983,,3616,140046
AL_L,224,0.12475171490721791,0.010713564425513165,0.2639632692115448,,3616,140046
AL_L,225,0.12424354344495513,0.010713564425513165,0.26522713965411365,,3616,140046
AL_L,226,0.1242337425959275,0.010713564425513165,0.26807620353312483,,3616,140046
AL_L,227,0.12431188245749368,0.010713564425513165,0.26539137140653785,,3616,140046
AL_L,228,0.12480789927630578,0.010713564425513165,0.26651957214058236,,3616,140046
AL_L,229,0.12439074596252513,0.010713564425513165,0.2638918641017951,,3616,140046
AL_L,230,0.12416737989262942,0.010713564425513165,0.26613398454793424,,3616,140046
AL_L,231,0.12441164316721069,0.010713564425513165,0.2684974936806478,,3616,140046
AL_L,232,0.12529870789057307,0.010713564425513165,0.2686902874769719,,3616,140046
AL_L,233,0.12451506978461242,0.010713564425513165,0.26689801922225553,,3616,140046
AL_L,234,0.12492069051002103,0.010713564425513165,0.2674906816331777,,3616,140046
AL_L,235,0.12481428687187165,0.010713564425513165,0.26460591519929166,,3616,140046
AL_L,236,0.12460407793402248,0.010713564425513165,0.2667694900247062,,3616,140046
AL_L,237,0.12459584965628752,0.010713564425513165,0.26553418162603715,,3616,140046
AL_L,238,0.12402172021544701,0.010713564425513165,0.2648558330834154,,3616,140046
AL_L,239,0.12472022875282042,0.010713564425513165,0.26556274366993704,,3616,140046
AL_L,240,0.1245487601879461,0.010713564425513165,0.26644102651985774,,3616,140046
AL_L,241,0.1243342283409326,0.010713564425513165,0.26716221812832924,,3616,140046
AL_L,242,0.12434584076776649,0.010713564425513165,0.26637676192108306,,3616,140046
