neuropil,sample,global_clustering,density,reciprocity,average_strength,n_nodes,n_edges
CAN_L,0,0.10969467711429344,0.014464173690096283,0.0350744861399208,,606,5303
CAN_L,1,0.10881228928707341,0.014464173690096283,0.029040165943805395,,606,5303
CAN_L,2,0.11519931556292276,0.014464173690096283,0.029417310956062606,,606,5303
CAN_L,3,0.11455646307389511,0.014464173690096283,0.028474448425419574,,606,5303
CAN_L,4,0.11646448257706814,0.014464173690096283,0.029605883462191212,,606,5303
CAN_L,5,0.11260658391797086,0.014464173690096283,0.033377333584763344,,606,5303
CAN_L,6,0.11120657713147282,0.014464173690096283,0.02451442579671884,,606,5303
CAN_L,7,0.11428494594739956,0.014464173690096283,0.029417310956062606,,606,5303
CAN_L,8,0.11157278915930031,0.014464173690096283,0.029040165943805395,,606,5303
CAN_L,9,0.11687247678235513,0.014464173690096283,0.027908730907033753,,606,5303
CAN_L,10,0.11355864172754275,0.014464173690096283,0.03092589100509146,,606,5303
CAN_L,11,0.11249223452796642,0.014464173690096283,0.027720158400905148,,606,5303
CAN_L,12,0.11355384259533198,0.014464173690096283,0.03205732604186309,,606,5303
CAN_L,13,0.11365528502446597,0.014464173690096283,0.029228738449934,,606,5303
CAN_L,14,0.11400011804031614,0.014464173690096283,0.03658306618894965,,606,5303
CAN_L,15,0.11415645051487261,0.014464173690096283,0.026400150858004904,,606,5303
CAN_L,16,0.11490966440648871,0.014464173690096283,0.029040165943805395,,606,5303
CAN_L,17,0.1109174474292487,0.014464173690096283,0.03601734867056383,,606,5303
CAN_L,18,0.11805677963838368,0.014464173690096283,0.0322458985479917,,606,5303
CAN_L,19,0.11134570865129041,0.014464173690096283,0.029417310956062606,,606,5303
CAN_L,20,0.11342316955554238,0.014464173690096283,0.03582877616443522,,606,5303
CAN_L,21,0.11894665650395594,0.014464173690096283,0.034320196115406376,,606,5303
CAN_L,22,0.1109650729352955,0.014464173690096283,0.033377333584763344,,606,5303
CAN_L,23,0.11089386227141741,0.014464173690096283,0.029983028474448427,,606,5303
CAN_L,24,0.1154673717564443,0.014464173690096283,0.026400150858004904,,606,5303
CAN_L,25,0.11186115340896906,0.014464173690096283,0.030548745992834244,,606,5303
CAN_L,26,0.1138602396660832,0.014464173690096283,0.03149160852347728,,606,5303
CAN_L,27,0.11117623966831042,0.014464173690096283,0.030171600980577033,,606,5303
CAN_L,28,0.11258046271108836,0.014464173690096283,0.025080143315104657,,606,5303
CAN_L,29,0.11303313838058292,0.014464173690096283,0.029228738449934,,606,5303
CAN_L,30,0.11056093216883758,0.014464173690096283,0.03281161606637752,,606,5303
CAN_L,31,0.1136279242480505,0.014464173690096283,0.03469734112766359,,606,5303
CAN_L,32,0.11446939115571299,0.014464173690096283,0.041108806336036204,,606,5303
CAN_L,33,0.11249274240371589,0.014464173690096283,0.03526305864604941,,606,5303
CAN_L,34,0.11289147070802341,0.014464173690096283,0.02696586837639072,,606,5303
CAN_L,35,0.11804248886315756,0.014464173690096283,0.03469734112766359,,606,5303
CAN_L,36,0.11330708872285156,0.014464173690096283,0.031114463511220065,,606,5303
CAN_L,37,0.11536598232260704,0.014464173690096283,0.03413162360927777,,606,5303
CAN_L,38,0.11485200533970953,0.014464173690096283,0.027908730907033753,,606,5303
CAN_L,39,0.11358315074966706,0.014464173690096283,0.025268715821233263,,606,5303
CAN_L,40,0.11188249562053632,0.014464173690096283,0.027343013388647936,,606,5303
CAN_L,41,0.11598311801282257,0.014464173690096283,0.029605883462191212,,606,5303
CAN_L,42,0.11839577847800752,0.014464173690096283,0.03036017348670564,,606,5303
CAN_L,43,0.11819923888693962,0.014464173690096283,0.03281161606637752,,606,5303
CAN_L,44,0.1147713362847606,0.014464173690096283,0.03545163115217801,,606,5303
CAN_L,45,0.10953078942705732,0.014464173690096283,0.02715444088251933,,606,5303
CAN_L,46,0.11163548211972502,0.014464173690096283,0.03601734867056383,,606,5303
CAN_L,47,0.11122205759196031,0.014464173690096283,0.02696586837639072,,606,5303
CAN_L,48,0.11205608427637252,0.014464173690096283,0.03036017348670564,,606,5303
CAN_L,49,0.11335183638274367,0.014464173690096283,0.029794455968319818,,606,5303
CAN_L,50,0.1111045322424373,0.014464173690096283,0.029983028474448427,,606,5303
CAN_L,51,0.11641824570410897,0.014464173690096283,0.024137280784461625,,606,5303
CAN_L,52,0.11607794325936735,0.014464173690096283,0.03281161606637752,,606,5303
CAN_L,53,0.11444428907939035,0.014464173690096283,0.027908730907033753,,606,5303
CAN_L,54,0.11494283663170075,0.014464173690096283,0.03243447105412031,,606,5303
CAN_L,55,0.11021590113747469,0.014464173690096283,0.025268715821233263,,606,5303
CAN_L,56,0.10926209883517607,0.014464173690096283,0.025645860833490478,,606,5303
CAN_L,57,0.11173573560699032,0.014464173690096283,0.027908730907033753,,606,5303
CAN_L,58,0.10830512468934785,0.014464173690096283,0.033754478597020555,,606,5303
CAN_L,59,0.11056698401447665,0.014464173690096283,0.027720158400905148,,606,5303
CAN_L,60,0.11446792963754956,0.014464173690096283,0.03394305110314916,,606,5303
CAN_L,61,0.11148927894199445,0.014464173690096283,0.038091646237978505,,606,5303
CAN_L,62,0.10562779390693507,0.014464173690096283,0.03149160852347728,,606,5303
