neuropil,global_clustering_mean,global_clustering_q025,global_clustering_q975,density_mean,density_q025,density_q975,reciprocity_mean,reciprocity_q025,reciprocity_q975,average_strength_mean,average_strength_q025,average_strength_q975
AL_L,0.12461049428333162,0.123993117958691,0.12539993063337213,0.010713564425513104,0.0107135644255131,0.0107135644255131,0.26572445244181675,0.2630114390985819,0.26848731845250845,,,
AL_R,0.12271585894626312,0.12208241181861074,0.12379944766015588,0.0100606866641166,0.0100606866641166,0.0100606866641166,0.2657402876947439,0.26254640428981874,0.2684022345176798,,,
AME_L,0.24219291664950124,0.23303743140410219,0.2516293910082762,0.0089543695142561,0.0089543695142561,0.0089543695142561,0.12186876374090981,0.10753424657534244,0.13484906139015723,,,
AME_R,0.25388241630779806,0.2442782156062855,0.26399105640630216,0.007496909287590698,0.0074969092875907,0.0074969092875907,0.11940908700506737,0.10653826333419215,0.1325753671734089,,,
AMMC_L,0.16517043939647075,0.163266656059836,0.16705681793553537,0.011465414000033102,0.0114654140000331,0.0114654140000331,0.08777076398048694,0.08382874819420884,0.09194538659631926,,,
AMMC_R,0.14041184493494369,0.1386992082063814,0.14210806962701134,0.008716992281665798,0.0087169922816658,0.0087169922816658,0.0762975312796353,0.07289608125057355,0.07978524886047289,,,
AOTU_L,0.231538889065512,0.22974477581799313,0.2333180530038891,0.016246234809403404,0.0162462348094034,0.0162462348094034,0.1529571931918279,0.14928181740687066,0.15687175006393314,,,
AOTU_R,0.21654927867631188,0.21431997000119513,0.2187857953826546,0.014924339142741203,0.0149243391427412,0.0149243391427412,0.13895017423414985,0.1352375565610859,0.14229062646278667,,,
ATL_L,0.14127558127800097,0.1378849063881969,0.14464946106264479,0.006070699435057301,0.0060706994350573,0.0060706994350573,0.06389678281547859,0.0589587878073226,0.06892577088615051,,,
ATL_R,0.14419074006564078,0.14063188642189703,0.14823824963445129,0.0058324895349603995,0.0058324895349604,0.0058324895349604,0.0670344995787326,0.0625914593587867,0.07213815351869093,,,
AVLP_L,0.20643789051108988,0.205715382640154,0.20711451106356507,0.014622972206497699,0.0146229722064977,0.0146229722064977,0.13510864013379437,0.13374127059461657,0.1364589463692453,,,
AVLP_R,0.19487450062419862,0.19413526512065413,0.19553593442595044,0.011839078834867598,0.0118390788348676,0.0118390788348676,0.1301378262677009,0.1287062507186513,0.1315364101929081,,,
